country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
NL,heating_oil,2023-03-20,2026-08-03,-176,sarimax,1898.937788014978,1898.937788014978,1827.4871329763416,1970.3884430536143
NL,heating_oil,2023-03-27,2026-08-03,-175,sarimax,1898.7450970751945,1898.7450970751945,1817.470853017698,1980.0193411326911
NL,heating_oil,2023-04-03,2026-08-03,-174,sarimax,1899.70444305102,1899.70444305102,1809.792247402176,1989.616638699864
NL,heating_oil,2023-04-10,2026-08-03,-173,sarimax,1899.6641413533623,1899.6641413533623,1801.9243131622875,1997.403969544437
NL,heating_oil,2023-04-17,2026-08-03,-172,sarimax,1899.6457101214576,1899.6457101214576,1794.681616861597,2004.609803381319
NL,heating_oil,2023-04-24,2026-08-03,-171,sarimax,1899.637280940325,1899.637280940325,1787.9242591457942,2011.350302734856
NL,heating_oil,2023-05-01,2026-08-03,-170,sarimax,1901.152770336112,1901.152770336112,1783.0799062223357,2019.2256344498887
NL,heating_oil,2023-05-08,2026-08-03,-169,sarimax,1901.1510073559227,1901.1510073559227,1777.0455074241777,2025.256507287668
NL,heating_oil,2023-05-15,2026-08-03,-168,sarimax,1901.1502010897204,1901.1502010897204,1771.2927669129365,2031.0076352665044
NL,heating_oil,2023-05-22,2026-08-03,-167,sarimax,1901.149832358868,1901.149832358868,1765.7849854499116,2036.514679267824
NL,lpg,2026-07-13,2026-08-03,-3,sarimax,966.0777141959632,593.9547389893515,949.6641938919662,982.49123449996
NL,lpg,2026-07-20,2026-08-03,-2,sarimax,965.3964389319055,593.273463725294,941.1092954457469,989.6835824180644
NL,lpg,2026-07-27,2026-08-03,-1,sarimax,964.8820387459114,592.7590635392997,934.0305809354202,995.7334965564024
NL,lpg,2026-08-03,2026-08-03,0,sarimax,965.2810834395068,593.1581082328951,928.5829103423248,1001.9792565366884
NL,lpg,2026-08-10,2026-08-03,1,sarimax,964.9878198747168,592.8648446681052,922.945377348456,1007.0302624009776
NL,lpg,2026-08-17,2026-08-03,2,sarimax,964.7663898005134,592.6434145939018,917.7722079639776,1011.7605716370492
NL,lpg,2026-08-24,2026-08-03,3,sarimax,964.5991979511036,592.4762227444919,912.9774293062468,1016.2209665959602
NL,lpg,2026-08-31,2026-08-03,4,sarimax,964.4729589358766,592.349983729265,908.4996033391312,1020.446314532622
NL,lpg,2026-09-07,2026-08-03,5,sarimax,964.7533614032754,592.6303861966638,904.66776839182,1024.8389544147308
NL,lpg,2026-09-14,2026-08-03,6,sarimax,964.6813915544516,592.5584163478399,900.6936354241135,1028.6691476847896
NL,lpg,2026-09-21,2026-08-03,7,sarimax,964.6270503717104,592.5040751650989,896.9231041432234,1032.3309966001975
NL,lpg,2026-09-28,2026-08-03,8,sarimax,964.5860197986312,592.4630445920195,893.3316263355599,1035.8404132617025
NL,lpg,2026-10-05,2026-08-05,9,sarimax,925.4630273904146,559.6036059028113,861.3495662957687,989.5764884850606
NL,lpg,2026-10-12,2026-08-05,10,sarimax,925.3620125090372,559.502591021434,857.5158357855577,993.2081892325168
NL,lpg,2026-10-19,2026-08-05,11,sarimax,925.2856257439774,559.4262042563741,853.8730038861268,996.698247601828
PL,diesel,2026-07-13,2026-08-03,-3,gbm,1546.04721388487,851.6367025749972,1519.5038453036614,1565.0248191381834
PL,diesel,2026-07-20,2026-08-03,-2,gbm,1546.04721388487,851.6367025749972,1519.5038453036614,1565.0248191381834
PL,diesel,2026-07-27,2026-08-03,-1,gbm,1546.04721388487,851.6367025749972,1519.5038453036614,1564.078181650346
PL,diesel,2026-08-03,2026-08-03,0,gbm,1541.1322006680614,846.7216893581885,1519.188128332442,1546.3068474111424
PL,diesel,2026-08-10,2026-08-03,1,gbm,1541.270851562018,846.860340252145,1517.7285645184495,1545.721967785288
